Identifiant DEPCIR (numéro de département suivi du numéro de circonscritption),Intitulé de DEPCIR,Population,Population 0-2 ans,Population 3-5 ans,Population 6-10 ans,Population 11-17 ans,Population 18-24 ans,Population 25-39 ans,Population 40-54 ans,Population 55-64 ans,Population 65-79 ans,Population 80 ans et plus,Population 0-19 ans,Population 20-64 ans,Population 65 ans et plus,Population Hommes,Population Hommes 0-19 ans,Population Hommes 20-64 ans,Population Hommes 65 ans et plus,Population Femmes,Population Femmes 0-19 ans,Population Femmes 20-64 ans,Population Femmes 65 ans et plus,Population française,Population étrangère,Population 15 ans ou plus,Population 15 ans ou plus Agriculteurs exploitants,"Population 15 ans ou plus Artisans, Comm., Chefs entr.","Population 15 ans ou plus Cadres, Prof. intel. sup.",Population 15 ans ou plus Prof. intermédiaires ,Population 15 ans ou plus Employés,Population 15 ans ou plus Ouvriers,Population 15 ans ou plus Retraités ,Population 15 ans ou plus Autres,Population Hommes15 ans ou plus,Population Hommes 15 ans ou plus Agriculteurs exploitants,"Population Hommes15 ans ou plus Artisans, Comm., Chefs entr.","Population Hommes 15 ans ou plus Cadres, Prof. intel. sup.",Population Hommes 15 ans ou plus Prof. intermédiaires ,Population Hommes15 ans ou plus Employés,Population Hommes 15 ans ou plus Ouvriers,Population Hommes 15 ans ou plus Retraités ,Population Hommes 15 ans ou plus Autres,Population Femmes15 ans ou plus,Population Femmes 15 ans ou plus Agriculteurs exploitants,"Population Femmes15 ans ou plus Artisans, Comm., Chefs entr.","Population Femmes 15 ans ou plus Cadres, Prof. intel. sup.",Population Femmes 15 ans ou plus Prof. intermédiaires ,Population Femmes 15 ans ou plus Employés,Population Femmes 15 ans ou plus Ouvriers,Population Femmes 15 ans ou plus Retraités ,Population Femmes 15 ans ou plus Autres,Résidences principales,Population Ménages : Nombre de personnes des ménages,Population ménages : nombre de personnes dans les ménages avec famille(s),Population ménages : Nombre de ménages d'une Personne seule
DEPCIR,DEPCIR INTITULE,P13 pop,P13 pop0002,P13 pop0305,P13 pop0610,P13 pop1117,P13 pop1824,P13 pop2539,P13 pop4054,P13 pop5564,P13 pop6579,P13 pop80p,P13 pop0019,P13 pop2064,P13 pop65P,P13 poph,P13 h0019,P13 h2064,P13 h65p,P13 popf,P13 f0019,P13 f2064,P13 f65p,P13 pop fr,P13 pop etr,P13 Pop15P,C13 Pop15P cs1,C13 Pop15P cs2,C13 Pop15P cs3,C13 Pop15P cs4,C13 Pop15P cs5,C13 Pop15P cs6,C13 Pop15P cs7,C13 Pop15P cs8,C13 H15P,C13 H15P cs1,C13 H15P cs2,C13 H15P cs3,C13 H15P cs4,C13 H15P cs5,C13 H15P cs6,C13 H15P cs7,C13 H15P cs8,C13 F15P,C13 F15P cs1,C13 F15P cs2,C13 F15P cs3,C13 F15P cs4,C13 F15P cs5,C13 F15P cs6,C13 F15P cs7,C13 F15P cs8,P13 rp,C13 pmen,C13 pmen menfam,C13 pmen menseul
7710,Seine-et-Marne  - 10e circonscription,133199,4134,6158,9907,12188,12577,29563,26342,16277,11507,4546,35556,81590,16054,64062,17877,39202,6983,69137,17679,42387,9071,117206,15993,105847,27,2755,11999,18984,21621,11861,19307,19293,50270,24,2085,7195,8659,6199,9531,8773,7804,55577,3,670,4804,10325,15422,2330,10534,11489,51509,132084,114255,14313
7711,Seine-et-Marne  - 11e circonscription,107196,3512,5498,9241,11684,10352,23067,22365,11294,7529,2654,32967,64046,10183,52546,16832,31263,4451,54650,16134,32784,5732,96226,10970,81665,34,1859,7324,15374,18081,10642,12688,15663,39360,25,1376,4615,7319,5033,8562,5798,6631,42304,9,482,2709,8055,13048,2080,6890,9032,37830,105103,94268,8805
7801,Yvelines  - 1re circonscription,122067,3376,4791,7949,11276,11878,24966,25320,14699,12120,5693,31137,73118,17812,59285,15779,35944,7563,62782,15358,37174,10250,113509,8557,99468,15,2146,24696,16326,13660,4660,18572,19392,47934,9,1610,15383,6895,4041,4022,8333,7641,51534,7,537,9313,9432,9618,638,10238,11751,50778,119084,98707,17697
7802,Yvelines  - 2e circonscription,119701,2915,4430,7770,11532,11255,22226,26302,14180,13179,5912,29731,70879,19091,58931,15193,35549,8188,60771,14537,35330,10903,112969,6732,98238,25,2402,23917,16008,12967,4670,21070,17179,47968,17,1766,14619,6801,4475,3929,9173,7188,50270,8,636,9298,9207,8493,740,11897,9992,47456,115535,99477,13878
7803,Yvelines  - 3e circonscription,115671,2561,4101,7790,11845,8730,18202,25540,14469,15436,6997,29330,63909,22433,55257,15005,30779,9473,60414,14325,33129,12960,106303,9368,94294,41,2995,20436,14693,12002,4534,23081,16512,44054,17,2198,12609,6087,3305,3815,10070,5953,50240,24,796,7827,8606,8698,719,13011,10559,47619,114867,98455,14458
7804,Yvelines  - 4e circonscription,117165,3147,4820,8069,10863,9022,22173,26635,13597,12266,6573,29877,68448,18839,56014,15446,32951,7617,61151,14431,35498,11222,106811,10354,94867,40,2726,22764,16236,12297,5163,20124,15517,44543,30,2015,13375,6690,3377,4308,8518,6229,50324,10,711,9389,9546,8920,855,11605,9288,48134,115752,98535,14967
7805,Yvelines  - 5e circonscription,112188,3015,4565,7593,10290,8926,20972,24459,13210,12528,6629,28141,64890,19158,53604,14056,31382,8167,58584,14085,33508,10991,99549,12639,91127,31,2709,19164,14108,12850,6444,20318,15503,43101,16,2037,11108,6108,3381,5528,8869,6055,48026,14,673,8056,8000,9469,916,11449,9448,45005,110270,93998,13524
7806,Yvelines  - 6e circonscription,111955,2922,4382,7802,10808,8569,21826,24231,13468,11865,6082,28646,65361,17948,53863,14715,31738,7410,58092,13931,33623,10538,99887,12068,90559,31,2609,19057,14887,13486,5771,18578,16140,42816,22,1907,11677,6350,4033,4834,8106,5887,47742,9,702,7380,8537,9453,937,10472,10253,46182,109942,92589,14933
7807,Yvelines  - 7e circonscription,118448,3289,5126,8550,11442,9865,22556,25699,14590,11930,5402,31387,69729,17332,57594,16202,33961,7431,60854,15185,35768,9901,108599,9849,94691,20,2765,15119,16977,15239,8546,20254,15770,45398,12,2047,9297,7428,3961,7227,9033,6394,49293,8,718,5822,9549,11278,1320,11221,9376,45906,116232,101310,12516
7808,Yvelines  - 8e circonscription,124277,4194,5905,9186,11987,11457,25740,24408,14081,12445,4874,34692,72266,17319,61264,17593,35811,7860,63013,17099,36455,9459,107567,16710,98111,33,2349,7466,15803,18250,14319,19949,19941,48217,27,1796,4794,7751,4628,12063,9381,7777,49894,6,554,2672,8052,13622,2256,10568,12163,46041,121746,106352,12596
7809,Yvelines  - 9e circonscription,136501,3577,5610,9891,13390,11500,24105,29888,18031,15137,5372,36028,79963,20509,67509,18267,39560,9683,68992,17762,40404,10827,123571,12930,109743,354,3756,11805,18502,18770,13323,24655,18579,53958,268,2835,7579,8805,4440,10888,12132,7010,55785,86,920,4226,9696,14330,2435,12523,11569,50929,134333,119459,12145
7810,Yvelines  - 10e circonscription,120717,2630,4264,8027,11799,9569,19867,27218,15751,15501,6090,29715,69411,21591,59446,15401,34456,9589,61271,14314,34955,12002,114167,6550,98894,251,3233,16436,17848,14362,7179,24328,15257,48117,186,2405,10673,7881,3745,6026,11010,6190,50778,66,827,5763,9967,10617,1153,13319,9067,48186,117921,102682,13114
7811,Yvelines  - 11e circonscription,115035,4037,5802,8769,10537,10377,26542,22623,12110,10442,3798,32135,68661,14240,56844,16462,33979,6403,58191,15673,34681,7837,101047,13988,90068,11,1835,13328,15928,17134,9307,16004,16520,43980,6,1385,8213,7489,4864,7687,7490,6846,46088,5,450,5115,8439,12270,1620,8515,9674,44032,112467,96769,12801
7812,Yvelines  - 12e circonscription,104759,2931,4426,7313,9847,8671,20763,22955,12393,11239,4220,27003,62297,15459,51209,13783,30555,6871,53550,13220,31742,8588,95030,9729,84420,93,2425,14387,15088,13981,6885,17231,14329,40968,61,1858,8814,6727,4071,5731,7940,5767,43452,33,568,5573,8361,9910,1155,9291,8562,41063,102278,88329,11821
7901,Deux-Sèvres  - 1re circonscription,123203,2671,4098,7401,10423,8776,21057,26039,16484,16914,9339,27210,69741,26253,59517,14036,34229,11253,63686,13173,35512,15000,119390,3813,102831,1398,3222,8837,15013,16777,12798,31144,13642,49128,1112,2294,5148,6829,3619,10401,13958,5768,53703,286,928,3689,8184,13158,2398,17186,7874,56853,120080,96968,20727
7902,Deux-Sèvres  - 2e circonscription,131972,2784,4460,8074,11588,7598,20338,27877,18513,19419,11320,29509,71724,30739,65157,15200,36161,13797,66815,14309,35563,16942,128788,3184,109908,2413,3904,5774,12846,17739,16772,36492,13968,53651,1836,2792,3592,5967,3472,13581,17079,5332,56257,577,1112,2182,6879,14268,3191,19413,8635,56607,128405,109610,16498
7903,Deux-Sèvres  - 3e circonscription,116457,2848,4410,7373,10076,7428,19079,23464,15920,16426,9431,27136,63463,25858,57893,13983,32470,11440,58564,13153,30993,14417,113253,3204,96005,2924,3045,3485,10293,13678,20165,30634,11781,47401,2281,2129,2131,4971,2193,15015,14112,4568,48604,643,916,1353,5322,11485,5150,16522,7214,49816,113663,96719,14917
8001,Somme  - 1re circonscription,119237,2985,4673,7782,11042,10902,20927,24564,15537,14546,6279,29702,68710,20824,57955,15357,33807,8791,61282,14345,34903,12033,115061,4176,97175,415,2147,4972,11349,17037,15385,24998,20871,46490,346,1431,3084,5262,4226,12519,11132,8492,50684,70,716,1888,6086,12812,2867,13866,12379,49593,116658,98171,15404
8002,Somme  - 2e circonscription,126211,2901,3943,6577,9258,20100,26810,22397,14323,13024,6878,27454,78855,19902,59862,13904,38035,7924,66349,13551,40820,11978,120461,5751,107756,202,2143,12112,16140,16868,10865,23461,25965,50330,141,1491,7054,7253,4636,8948,9707,11100,57427,61,652,5058,8887,12233,1917,13754,14865,60056,121794,90061,26047
8003,Somme  - 3e circonscription,106012,2272,3595,6363,9152,6924,16831,22023,15338,15792,7723,23596,58902,23514,52189,12186,29722,10281,53823,11410,29180,13233,105437,575,88651,1513,2670,2972,8880,13674,16842,28386,13714,43285,1139,1804,1802,4507,2883,13010,13049,5092,45366,375,866,1170,4373,10791,3832,15338,8621,44551,104718,90502,12084
8004,Somme  - 4e circonscription,110834,2808,4299,7468,10284,8223,19607,23609,14565,13396,6574,27572,63292,19970,54426,14049,31839,8538,56408,13523,31453,11432,110052,782,90160,1536,2638,4921,12636,15028,14830,24374,14197,43750,1193,1798,3023,5854,3053,12262,10992,5575,46410,343,840,1898,6782,11975,2568,13382,8622,44128,108325,95141,11144
8005,Somme  - 5e circonscription,109381,2726,4077,7152,9832,7864,19063,22537,14720,14005,7405,26249,61722,21410,53544,13450,31046,9049,55837,12798,30676,12362,108299,1082,89697,1261,2458,3045,9686,13516,18673,25801,15257,43417,981,1625,1891,4922,2561,14437,11555,5444,46280,280,834,1155,4764,10954,4236,14246,9812,45104,107595,92721,12562
8101,Tarn  - 1re circonscription,110681,2182,3271,5751,8536,9382,16403,22049,15754,17165,10187,22557,60772,27351,53127,11554,29848,11724,57554,11003,30924,15628,106926,3755,94526,1964,3642,4891,11572,15231,10833,31246,15147,44711,1338,2568,2861,5162,3779,9115,13848,6041,49814,626,1074,2030,6410,11452,1718,17398,9107,50895,107307,86240,18537
8102,Tarn  - 2e circonscription,138174,2875,4677,8129,11411,8593,21021,27736,19352,21349,13032,29887,73907,34380,66514,15383,36144,14987,71661,14504,37763,19393,132128,6047,115913,2035,4923,6434,14077,18158,13293,38863,18130,54930,1458,3559,3831,6508,3742,11176,18010,6645,60983,577,1364,2603,7569,14416,2116,20853,11485,61334,135486,112474,19729
8103,Tarn  - 3e circonscription,133072,2763,4598,8038,11593,8367,20563,28276,18109,19248,11517,29938,72369,30765,64484,15276,35873,13335,68588,14662,36497,17430,128777,4295,110950,1545,4988,6721,14617,17497,13733,35581,16268,53227,1101,3618,4137,6851,3869,11206,16134,6312,57722,444,1370,2584,7766,13629,2527,19447,9956,57172,128997,108834,17542
8201,Tarn-et-Garonne  - 1re circonscription,121848,2722,4226,7474,10590,8109,19861,25063,16524,17588,9690,27612,66958,27278,58530,14053,32749,11728,63318,13559,34209,15550,114668,7180,101388,1737,4140,5776,12546,16897,12762,31966,15563,48193,1250,2966,3409,5862,4136,10116,14291,6163,53195,487,1174,2367,6684,12761,2647,17675,9400,53528,119109,98106,17900
8202,Tarn-et-Garonne  - 2e circonscription,128494,3229,5090,8589,11438,7921,22212,26744,16611,17007,9653,31039,70795,26660,63527,16047,35553,11927,64967,14992,35242,14733,121512,6982,104753,2428,4586,5043,12763,17382,15410,31157,15985,51430,1679,3248,3234,6167,4004,12415,14671,6012,53323,749,1338,1809,6596,13378,2995,16486,9972,52487,124953,107609,14642
8301,Var  - 1re circonscription,112095,2606,3649,5422,7116,9118,21249,20512,13806,18327,10290,21076,62402,28617,53343,10865,30998,11480,58752,10211,31404,17137,106106,5989,96377,29,2737,6631,11755,16878,8838,28508,21001,45297,29,1897,4033,5647,5369,7490,12920,7913,51080,0,841,2598,6108,11509,1349,15587,13089,56915,108746,78553,26777
8302,Var  - 2e circonscription,122655,2603,4029,7101,10302,9583,20826,25356,17074,17349,8431,26890,69985,25780,58780,13758,34134,10887,63875,13132,35850,14892,118294,4360,103378,195,4187,6384,14230,19341,10170,28245,20626,48848,142,2883,3936,6789,5396,8624,13312,7766,54530,53,1304,2448,7441,13945,1546,14933,12860,52606,119621,100203,16533
8303,Var  - 3e circonscription,126736,2135,3468,5932,9772,10706,18872,25148,17054,22259,11390,24567,68520,33648,60140,12671,33111,14358,66596,11897,35410,19290,122555,4181,109666,667,4533,6860,14263,18557,8897,36824,19065,51342,481,3123,4195,6720,5393,7592,16555,7283,58324,186,1411,2665,7543,13164,1305,20269,11782,58122,121776,97460,21364
8304,Var  - 4e circonscription,133902,2468,3766,7207,10864,8300,20566,27764,18276,23991,10700,27023,72188,34691,65304,14028,35497,15779,68598,12995,36691,18912,123982,9920,114368,860,8295,5180,12083,19706,12912,37469,17863,55326,513,5765,3198,5816,5015,10971,17660,6388,59042,347,2529,1982,6267,14690,1941,19809,11475,59907,131362,108386,19201
8305,Var  - 5e circonscription,121234,2436,3572,5951,8619,7545,18315,22831,15920,24195,11850,22897,62292,36045,57626,11600,30002,16023,63608,11297,32290,20022,112961,8273,104423,226,5776,5632,11455,17001,9522,39002,15808,48957,143,4096,3482,5412,4602,8021,17980,5221,55466,83,1680,2151,6043,12400,1501,21022,10587,55911,118277,95999,19273
8306,Var  - 6e circonscription,144986,3090,4971,9146,13320,9768,22717,31947,19632,21295,9099,33801,80791,30394,70647,17189,39655,13803,74339,16612,41135,16591,140656,4330,119907,794,6119,8635,17477,19883,12208,34885,19906,58008,604,4264,5464,8337,5073,10131,16914,7221,61899,190,1855,3171,9140,14810,2077,17971,12685,59366,142486,123525,15587
8307,Var  - 7e circonscription,128373,2582,3639,6268,9443,8573,19785,24506,17277,24072,12229,24585,67487,36301,60427,12832,32480,15114,67946,11753,35006,21187,124797,3576,110391,111,4731,6722,14098,18373,8699,39622,18035,51131,91,3131,4113,6904,5206,7454,17836,6396,59260,20,1600,2608,7194,13168,1245,21786,11639,60253,125679,100151,21992
8308,Var  - 8e circonscription,138602,2848,4722,8335,11835,9105,21998,28735,19307,22045,9671,30606,76280,31716,68151,15577,38070,14504,70451,15029,38210,17211,130678,7924,115997,805,6847,7000,13838,20256,11892,36515,18844,56678,553,4845,4459,6577,5401,10149,17777,6918,59319,252,2002,2541,7261,14855,1743,18738,11927,59807,134907,113037,18336
8401,Vaucluse  - 1re circonscription,115648,3347,4579,7181,9369,11454,22163,21583,13831,14557,7583,27493,66015,22140,53733,13881,31032,8819,61915,13611,34983,13321,103213,12435,95012,84,3076,6417,11347,16122,11943,23857,22165,43315,59,2212,3617,5358,4076,9702,10192,8098,51697,26,864,2800,5989,12046,2241,13665,14067,53074,112691,86781,22056
8402,Vaucluse  - 2e circonscription,106835,2354,3572,6208,9268,7324,16771,23297,15138,15686,7218,23771,60161,22903,51681,12364,29302,10014,55154,11407,30859,12889,101085,5750,89359,869,5154,6304,11683,14062,11085,25593,14609,42561,583,3733,3732,5502,2919,8808,12004,5280,46798,286,1421,2572,6181,11143,2277,13590,9329,46433,105135,88152,14502
8403,Vaucluse  - 3e circonscription,98976,2221,3389,6200,9353,7555,16195,21317,12664,13918,6166,23763,55130,20083,47381,12172,26628,8581,51595,11591,28502,11503,93724,5253,81783,698,3964,4377,10551,13645,11566,22741,14241,38552,513,2888,2629,4825,2868,9292,10459,5078,43230,185,1076,1747,5727,10777,2274,12282,9162,41617,97253,82713,12205
8404,Vaucluse  - 4e circonscription,119606,2852,4387,7372,10544,8265,20000,24378,16073,17489,8245,27719,66153,25734,57964,14166,32616,11182,61642,13553,33537,14552,111588,8018,99048,1780,4372,4906,12199,16182,14026,28430,17153,47569,1319,3037,2864,6115,3870,11359,13254,5753,51479,461,1336,2042,6084,12312,2667,15177,11401,50722,117245,98691,15579
8405,Vaucluse  - 5e circonscription,108884,2364,3840,6379,9521,7491,17147,22942,15244,16099,7858,24658,60270,23956,53045,12722,29747,10575,55839,11935,30523,13381,102162,6722,90951,1366,5170,5855,11132,14347,11347,26598,15136,43451,945,3626,3564,4969,3412,9281,12425,5229,47500,421,1544,2291,6163,10935,2066,14173,9907,46989,106415,89125,14822
8501,Vendée    - 1re circonscription,145627,3946,6167,10580,13285,10902,27632,29810,18323,16806,8177,37555,83089,24983,71552,19253,41490,10809,74075,18302,41599,14174,143433,2194,116768,1969,4077,6435,16890,19393,21546,31039,15419,57037,1393,2968,4133,8137,3361,16589,14126,6330,59731,575,1108,2301,8753,16032,4958,16913,9089,61117,142391,121359,18549
8502,Vendée    - 2e circonscription,132594,3208,5040,8623,11199,8865,23027,25956,18554,19105,9017,30862,73611,28121,65208,15919,36729,12560,67386,14943,36882,15561,130692,1902,109118,1804,4097,4977,14185,17627,17712,35208,13507,52985,1346,2909,3104,6817,3031,14151,16456,5172,56133,459,1188,1873,7368,14596,3561,18753,8335,57298,129609,109772,17590
8503,Vendée    - 3e circonscription,138337,2117,3501,6692,10163,7204,17211,25712,20936,30711,14091,25011,68524,44802,65824,12722,33475,19627,72513,12289,35049,25176,137007,1330,120394,1515,5901,4570,11333,16836,14634,52118,13487,56779,1182,3956,2940,5286,3070,11564,23594,5187,63615,333,1944,1631,6048,13766,3069,28524,8299,65920,135204,109540,23167
8504,Vendée    - 4e circonscription,130328,3652,5720,9495,12005,8884,25051,27517,16037,14233,7734,33800,74561,21967,65318,17219,38586,9513,65010,16581,35975,12454,128929,1399,104603,2396,3290,5212,14236,15699,24799,27439,11532,52169,1889,2347,3407,7212,2160,18003,12517,4633,52434,506,943,1804,7025,13539,6796,14923,6899,51862,126601,110847,13809
8505,Vendée    - 5e circonscription,108620,2306,3700,6685,9242,6611,16506,21630,15341,17219,9380,24174,57847,26599,53106,12348,29124,11635,55514,11826,28723,14964,106372,2248,90671,2227,3411,3404,9351,14253,15511,31063,11451,44089,1702,2361,2135,4621,2525,12119,14267,4359,46582,525,1050,1269,4730,11729,3392,16796,7091,46860,105176,88953,14415
8601,Vienne  - 1re circonscription,116143,3057,4383,7039,9540,13305,23109,22300,14364,12771,6274,27322,69776,19045,55635,13750,33799,8086,60507,13571,35977,10959,111623,4519,95931,498,2588,8021,15553,18362,10865,23020,17024,45893,374,1903,4694,7348,4626,9039,10359,7549,50037,124,686,3327,8204,13736,1825,12661,9474,53029,113321,90075,19957
8602,Vienne  - 2e circonscription,117190,2576,3832,6470,8987,16307,22752,21904,14226,13006,7130,25725,71329,20136,56210,13113,34572,8524,60980,12611,36757,11612,112937,4253,99009,601,2665,10681,15279,16439,9060,23734,20551,46640,492,1860,6235,7002,4358,7572,10481,8640,52369,109,805,4446,8277,12081,1488,13253,11910,55757,112835,85232,23597
8603,Vienne  - 3e circonscription,98394,1988,3165,5421,7867,5365,14075,19900,14066,16616,9931,20273,51574,26547,48131,10435,25949,11747,50263,9838,25625,14801,95043,3351,83062,2238,3041,3292,8804,13094,11585,31279,9729,40262,1728,2041,1944,4455,2279,9576,14403,3834,42800,510,1000,1348,4349,10815,2008,16876,5895,43899,95286,79088,14012
8604,Vienne  - 4e circonscription,99521,2185,3463,6019,8174,6195,14887,20138,14597,15004,8858,21895,53764,23862,48137,11127,26676,10334,51384,10768,27088,13528,97248,2273,82968,1396,2517,3429,8688,12928,14482,28397,11131,39632,1003,1711,2181,4366,2512,10847,12840,4172,43336,393,806,1249,4321,10417,3635,15557,6959,44913,97730,80340,15250
8701,Haute-Vienne  - 1re circonscription,124618,2838,3994,6920,9364,11259,21644,24134,17099,17320,10047,26120,71131,27367,59592,13427,34753,11411,65026,12693,36378,15956,115855,8763,105339,845,3115,6953,14102,16990,13120,32056,18157,49741,586,2189,3784,6648,4092,10727,13963,7752,55598,260,926,3169,7455,12898,2394,18093,10404,59726,122032,94169,24422
8702,Haute-Vienne  - 2e circonscription,133409,2679,4216,7221,10159,10217,21428,26922,18726,19973,11867,27221,74348,31840,64304,13861,36794,13650,69105,13360,37554,18191,127693,5716,113081,1851,3862,7021,15040,16770,14692,37601,16243,53688,1251,2757,3925,6586,3544,11980,16780,6864,59393,600,1105,3096,8454,13226,2712,20821,9379,62268,130163,104268,22828
8703,Haute-Vienne  - 3e circonscription,117829,2473,3621,6199,8339,10321,18716,23190,16740,18049,10182,23444,66155,28231,56084,11853,32300,11931,61745,11591,33854,16300,110715,7114,100481,1787,3302,6154,12699,15221,11664,33581,16073,47057,1287,2319,3659,5549,3401,9472,14872,6498,53425,500,983,2495,7151,11821,2192,18708,9576,56470,115127,89877,22418
8801,Vosges    - 1re circonscription,105021,2395,3592,6269,9041,9172,18138,21553,14393,13764,6704,24058,60496,20468,50865,12190,30240,8435,54156,11867,30256,12033,102046,2975,87766,647,2794,5104,11512,15226,13021,24605,14858,42118,526,1950,3113,5800,3581,10763,10624,5762,45648,120,845,1991,5713,11645,2258,13980,9096,46954,102065,82547,17294
8802,Vosges    - 2e circonscription,98115,2036,3189,5822,8969,6838,15251,20590,14123,14002,7295,22251,54566,21297,47535,11445,27218,8873,50580,10806,27348,12425,95287,2828,82015,609,2971,3434,8878,12194,15304,25912,12713,39131,469,2021,2072,4299,2244,11667,11472,4887,42884,141,950,1362,4579,9949,3637,14440,7826,43641,96397,79555,14948
8803,Vosges    - 3e circonscription,84244,1607,2571,4618,7082,5388,12800,17650,12797,12947,6784,17687,46826,19731,41167,9175,23675,8317,43077,8512,23151,11414,81629,2615,71177,480,2755,3173,8110,10786,12517,24293,9063,34370,372,1871,1988,3956,2119,9727,10803,3535,36807,107,884,1185,4155,8667,2790,13490,5529,38193,82303,67707,13178
8804,Vosges    - 4e circonscription,87846,1824,2870,5118,7468,5792,13977,18022,12802,13116,6858,19200,48672,19974,42873,9830,24466,8577,44973,9371,24206,11396,85623,2223,73802,1333,2380,2794,7964,11750,12564,24175,10843,35769,985,1678,1670,3799,2200,10147,10977,4313,38033,347,702,1123,4165,9550,2416,13199,6530,38803,84935,70290,13103
8901,Yonne  - 1re circonscription,108205,2369,3556,6150,9070,6982,17176,21492,16121,16369,8920,23544,59372,25289,52015,11967,29194,10855,56190,11578,30178,14434,104551,3654,90698,1252,3109,5288,12091,14330,11828,30280,12520,43402,1011,2295,3071,5474,2922,9697,13627,5305,47296,241,814,2217,6617,11408,2131,16653,7215,49117,104442,84256,17838
8902,Yonne  - 2e circonscription,105442,2221,3485,6338,8908,6494,16697,21533,15448,15608,8709,23077,58047,24318,51794,11718,29556,10520,53648,11359,28491,13798,101312,4130,88513,1845,3078,3157,9217,14050,15419,28560,13186,43254,1515,2194,1930,4286,2664,12219,13012,5433,45259,330,884,1227,4931,11386,3199,15548,7753,46056,101897,83995,15532
8903,Yonne  - 3e circonscription,127836,3078,4859,8311,11616,8224,21283,25674,17381,17988,9422,30625,69800,27410,61961,15865,34179,11917,65875,14761,35621,15493,121283,6553,104857,1073,3572,5353,12973,17055,16460,32564,15808,50262,837,2552,3229,6173,3446,13038,14764,6223,54595,236,1021,2124,6800,13608,3422,17800,9585,55241,124640,103662,18437
9001,Territoire-de-Belfort    - 1re circonscription,72137,1784,2721,4538,6033,7054,14712,14551,8627,8221,3898,16832,43187,12118,36241,8743,22405,5093,35896,8089,20782,7025,68146,3991,59566,143,1419,5181,8197,9943,9724,14186,10774,29692,112,1015,3562,3981,2602,7482,6570,4369,29874,31,404,1619,4215,7341,2242,7616,6405,32311,70440,56804,12157
9002,Territoire-de-Belfort    - 2e circonscription,72181,1872,2752,4676,6254,6036,12746,14448,9457,9273,4666,17376,40866,13939,35536,9063,20459,6014,36645,8313,20407,7925,67670,4511,59407,127,1439,4481,8077,8790,8657,16350,11487,28850,109,1009,3013,3776,1953,6970,7632,4388,30558,17,430,1468,4301,6838,1686,8718,7099,31906,70422,57605,11364
9101,Essonne  - 1re circonscription,136439,4923,6985,10602,12663,14454,32201,26491,14106,10550,3465,38851,83573,14015,67096,19563,41167,6366,69343,19288,42407,7649,113237,23202,106493,13,2148,9106,18651,21710,14990,16213,23661,52041,9,1633,5718,9158,6031,12157,7416,9919,54452,4,515,3388,9493,15680,2833,8797,13742,51921,132501,111889,16084
9102,Essonne  - 2e circonscription,130489,3154,5231,9146,13217,10456,23194,30019,16279,13752,6041,33970,76726,19794,64447,17501,38230,8716,66042,16469,38496,11077,122362,8127,105459,403,3458,10976,19314,19087,12042,24030,16149,51793,329,2518,6938,9163,4636,10226,11207,6776,53666,74,940,4038,10151,14451,1816,12823,9373,50736,127948,112320,13336
9103,Essonne  - 3e circonscription,141828,3790,5792,9987,13690,12049,27376,31347,16508,14973,6315,36893,83647,21287,69596,18862,41429,9305,72232,18031,42218,11983,132324,9504,114363,167,3260,14540,22303,19179,12020,25239,17654,55449,124,2473,9049,10279,4797,10098,11450,7179,58914,43,787,5491,12024,14383,1923,13789,10475,55155,139005,121954,14432
9104,Essonne  - 4e circonscription,142683,3519,5650,9860,13817,12142,27091,32352,17161,15259,5832,36532,85060,21091,70399,18774,42390,9235,72284,17758,42670,11856,133476,9207,115548,119,3796,18804,22467,17401,10144,25020,17798,56733,97,2922,11717,10066,4670,8534,11107,7620,58815,22,875,7086,12401,12731,1610,13912,10178,55127,139051,122395,14100
9105,Essonne  - 5e circonscription,99281,2319,3742,6737,10090,10403,16831,20916,12009,11569,4666,25810,57236,16235,48974,13207,28452,7314,50307,12602,28784,8921,90682,8599,80724,10,1962,18200,11666,10127,4653,17705,16401,39500,3,1455,10862,4930,2800,3833,8037,7580,41224,7,507,7338,6736,7327,821,9668,8822,38708,95608,82312,11120
9106,Essonne  - 6e circonscription,126495,3960,5527,8455,10528,11339,28654,25571,13809,12993,5659,31442,76401,18652,62440,16012,38288,8139,64055,15430,38113,10513,112634,13861,102417,4,2327,18969,18069,16424,8512,20961,17150,50224,0,1758,11359,8335,4616,7100,9413,7643,52192,4,569,7610,9735,11808,1412,11549,9506,51806,123107,103311,16557
9107,Essonne  - 7e circonscription,121267,3561,5398,7533,10151,10370,26396,24626,13789,12948,6495,29341,72483,19443,58345,14847,35176,8322,62922,14494,37307,11121,105059,16208,98794,30,2604,11137,17346,18258,11151,22017,16252,46900,22,1974,6590,7832,5062,9305,9781,6334,51894,8,630,4547,9514,13196,1846,12235,9917,50555,119716,99807,16810
9108,Essonne  - 8e circonscription,118692,3426,4931,8276,10804,10429,22652,24611,14363,13174,6026,30751,68741,19200,57142,15691,33220,8231,61550,15060,35521,10969,105344,13348,95938,29,2343,12211,16686,16887,9347,22121,16313,45639,18,1798,7304,7411,4663,7890,9798,6756,50299,11,544,4907,9275,12224,1458,12323,9557,46486,116662,101503,12748
